paper_id,priority_score,reasons,in_top_n,has_any_section,has_primary_section,eligible_pdf,last_attempt_outcome,last_attempt_ts,retry_class,retry_priority,access_strategy,publication_year,title,source_url,doi,arxiv_id,openalex_id,s2_paper_id
01KS6HE5D5W71A1GB9G2MXXT75,743.0,future edge source|future edge target|future_endpoint|main_path_node|top_keystone|topic:quantum light source|topic_gap:quantum light source:future_candidates_missing_claim_card|topic_gap_claim_card_inputs,True,False,False,True,no_target_sections,2026-05-30T05:45:56Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2016,Microresonator Soliton Dual-Comb Spectroscopy,https://arxiv.org/pdf/1607.08222.pdf,10.1126/science.aah6516,1607.08222,W2479314579,161010485832b87cd152fd067830f4942a942851
01KS6HJEXQGTKP950NRDA3CVT2,708.0,topic:metalens|topic:metasurface holography|topic_evidence_gap|topic_gap:metalens:key_turning_paper_missing_primary_section|topic_gap:metasurface holography:future_candidate_generation_missing|topic_gap:metasurface holography:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,True,False,False,True,no_target_sections,2026-05-30T05:45:58Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2017,A Reconfigurable Active Huygens' Metalens,https://arxiv.org/pdf/1702.01920.pdf,,1702.01920,,c72a23c189892e0d316ba6c564c47281188c9e5a
01KS6GKQK1Y4S7EMFB2FR9H48M,502.0,future edge source|future edge target|future_endpoint|top_keystone|topic:quantum light source|topic_gap:quantum light source:future_candidates_missing_claim_card|topic_gap_claim_card_inputs,True,False,False,True,no_target_sections,2026-05-30T05:45:59Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2012,Modeling of octave-spanning Kerr frequency combs using a generalized mean-field Lugiato-Lefever model,https://arxiv.org/pdf/1211.1697.pdf,10.1364/OL.38.000037,1211.1697,W1999382247,b0ac64038559a8c527907c54ce3be038200f7371
01KS6HNKKTN0P5DTSRMS86C3GR,492.0,resolution_evidence|topic:metasurface holography|topic_evidence_gap|topic_gap:metasurface holography:future_candidate_generation_missing|topic_gap:metasurface holography:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,False,False,False,True,no_target_sections,2026-05-30T05:46:03Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2017,Generating Spatial Spectrum with Metasurfaces,https://arxiv.org/pdf/1707.06058.pdf,,1707.06058,,30af840b123972e27e91b6fc43a6e679294a0571
01KS5KMDAC6220S2FEJCB6XVTB,481.0,topic:photonic crystal cavity|topic_gap:photonic crystal cavity:key_turning_paper_missing_primary_section|topic_gap:photonic crystal cavity:missing_bottleneck_section_evidence:mode volume|topic_gap_bottleneck_evidence|topic_gap_key_turning_section,False,False,False,True,no_target_sections,2026-05-30T05:46:04Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2006,Silicon-based photonic crystal nanocavity light emitters,https://arxiv.org/pdf/physics/0609060.pdf,10.1063/1.2396903,physics/0609060,W2158336659,b173cff4ca4770208cb1945acc5b55f41ec6cfd1
01KS5KW8C34R9WN637BH5ABW1R,481.0,topic:quantum light source|topic_gap:quantum light source:key_turning_paper_missing_primary_section|topic_gap:quantum light source:missing_bottleneck_section_evidence:indistinguishability|topic_gap_bottleneck_evidence|topic_gap_key_turning_section,True,False,False,True,no_target_sections,2026-05-30T05:46:05Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,1999,Ultra-bright source of polarization-entangled photons,https://arxiv.org/pdf/quant-ph/9810003.pdf,10.1103/PhysRevA.60.R773,quant-ph/9810003,W4241462706,ad8fa3d9fc7979ea2a4ea07042d72d272e6ca30e
01KS5KWKMCV3DHKBFJH2Z0JN6A,481.0,topic:photonic crystal cavity|topic_gap:photonic crystal cavity:key_turning_paper_missing_primary_section|topic_gap:photonic crystal cavity:missing_bottleneck_section_evidence:mode volume|topic_gap_bottleneck_evidence|topic_gap_key_turning_section,False,False,False,True,no_target_sections,2026-05-30T05:46:06Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2003,Fabrication-tolerant high quality factor photonic crystal microcavities,https://arxiv.org/pdf/physics/0312060.pdf,10.1364/OPEX.12.001458,physics/0312060,W2045311244,466365c3304343a2cc04183d3c9200dd45b1c787
01KS6GKWMB3PJJVDPT9ADX1P81,481.0,topic:quantum light source|topic_gap:quantum light source:key_turning_paper_missing_primary_section|topic_gap:quantum light source:missing_bottleneck_section_evidence:indistinguishability|topic_gap_bottleneck_evidence|topic_gap_key_turning_section,False,False,False,True,no_target_sections,2026-05-30T05:46:06Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2012,Down-conversion source of positively spectrally correlated and decorrelated photon pairs at telecom wavelength,https://arxiv.org/pdf/1212.0008.pdf,10.1364/OL.38.000697,1212.0008,W2761127556,0a1cf782cc92e8e3c34f86fba5f8274f334c0dc5
01KS6FQ18T1VR46Z69BXKVAYYJ,471.0,cluster_representative|topic:metasurface holography|topic_evidence_gap|topic_gap:metasurface holography:future_candidate_generation_missing|topic_gap:metasurface holography:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,True,False,False,True,no_target_sections,2026-05-30T05:46:07Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2010,Specular holography,https://arxiv.org/pdf/1101.0301.pdf,10.1364/AO.50.005042,1101.0301,W3037690806,98e9ec8fcfd3e27c4b8f8b5033f96a0589700837
01KS6FMGQJG0RJ53EKRZ372PTR,468.0,topic:metasurface holography|topic_evidence_gap|topic_gap:metasurface holography:future_candidate_generation_missing|topic_gap:metasurface holography:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,False,False,False,True,no_target_sections,2026-05-30T05:46:09Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2010,Neutron-optical gratings from nanoparticle-polymer composites,https://arxiv.org/pdf/1007.3407.pdf,10.1016/j.nima.2010.06.360,1007.3407,W1974411046,1b814534a4ecd186dc897bdd225973dab70b7662
